Наименование ,Категория цены,"Цена, руб",Категория,Ориентация,Стили,Цвет,"Размеры, см",Автор,Год создания,Популярность
Глаз,50 000 - 100 000,75 000,Живопись,Горизонтальная,Абстракция,Яркие оттенки,60 на 80,Эмиль Легран (Emile Legrand),2010,1
Космос,20 000 - 50 000,45 000,Живопись,Горизонтальная,Абстракция,Темные оттенки,65 на 70,Саманта Холл (Samantha Hall),2013,3
Медуза,200 000 - 500 000,350 000,Живопись,Горизонтальная,Абстракция,Теплая цветовая гамма,60 на 75,Лина Рамирес (Lina Ramirez),2017,5
Музыка,До 20 000,15 000,Живопись,Горизонтальная,Абстракция,Яркие оттенки,70 на 90,Амелия Кастильо (Amelia Castillo),2011,10
Разворот,100 000 - 200 000,125 000,Живопись,Горизонтальная,Абстракция,Темные оттенки,75 на 100,Мигель Ривера (Miguel Rivera),2009,7
Сияние,20 000 - 50 000,37 000,Digital,Вертикальная,Абстракция,Яркие оттенки,70 на 65,Лина Рамирес (Lina Ramirez),2017,6
Толпа,До 20 000,17 000,Графика,Горизонтальная,Абстракция,Яркие оттенки,40 на 70,Эмиль Легран (Emile Legrand),2015,9
Улыбка,50 000 - 100 000,70 000,Живопись,Горизонтальная,Абстракция,Яркие оттенки,75 на 85,Аннабель Смит (Annabelle Smith) ,2016,3
,,,,,,,,,,
Горы и река,100 000 - 200 000,175 000,Digital,Горизонтальная,Минимализм,Бледные оттенки,65 на 70,Саманта Холл (Samantha Hall),2009,8
Дорога,200 000 - 500 000,445 000,Живопись,Горизонтальная,Минимализм,Теплая цветовая гамма,60 на 75,Эмиль Легран (Emile Legrand),2017,9
Легкий разговор,20 000 - 50 000,38 000,Живопись,Горизонтальная,Минимализм,Ч/б,70 на 90,Аннабель Смит (Annabelle Smith) ,2016,1
Усталость,50 000 - 100 000,76 000,Графика,Горизонтальная,Минимализм,Яркие оттенки,75 на 100,Лина Рамирес (Lina Ramirez),2010,2
,,,,,,,,,,
Палитра,20 000 - 50 000,44 000,Живопись,Горизонтальная,Экспрессионизм,Светлые оттенки,65 на 70,Лина Рамирес (Lina Ramirez),2016,4
Разбойники,До 20 000,18 000,Digital,Горизонтальная,Экспрессионизм,Яркие оттенки,60 на 75,Амелия Кастильо (Amelia Castillo),2010,7
Тайная вечеря,50 000 - 100 000,75 000,Живопись,Горизонтальная,Экспрессионизм,Теплая цветовая гамма,70 на 90,Мигель Ривера (Miguel Rivera),2017,9
Танец,100 000 - 200 000,127 000,Графика,Горизонтальная,Экспрессионизм,Темные оттенки,75 на 100,Аннабель Смит (Annabelle Smith) ,2009,10
Ученый,До 20 000,16 000,Графика,Вертикальная,Экспрессионизм,Темные оттенки,50 на 30,Саманта Холл (Samantha Hall),2017,6
